"ID_UF","ID_MUNICIPIO","CO_ENTIDADE","ID_DEPENDENCIA_ADM","TAXA_PARTICIPACAO_5EF","MEDIA_5EF_LP","MEDIA_5EF_MT"
11,1100015,11024666,3,1,191.78,224.05
11,1100015,11024682,2,0.9864864865,244.34,256.25
11,1100015,11024828,3,0.9473684211,183.98,202.24
11,1100015,11024968,2,0,0,0
11,1100015,11025077,3,0.8888888889,195.11,201
11,1100015,11025310,3,0.9310344828,192.9,206.46
11,1100015,11025352,3,0.9545454545,187.44,191.87
11,1100015,11025620,2,0.9327731092,214.3,222.38
11,1100015,11025638,2,0,0,0
11,1100015,61223483,3,0,0,0
11,1100015,61226273,3,0,0,0
11,1100023,11006773,2,0.9784172662,218.05,227.98
11,1100023,11006846,2,0.9659090909,225.56,235.76
11,1100023,11006854,3,0.9154929577,199.18,212.4
11,1100023,11006889,2,1,230.69,232.32
11,1100023,11007079,3,0.9090909091,205.11,216.99
11,1100023,11007168,2,0,0,0
11,1100023,11007222,3,0.8936170213,212.36,224.55
11,1100023,11007249,3,0.8695652174,182.3,211.32
11,1100023,11007281,2,1.0833333333,218.72,229.25
11,1100023,11007346,3,0.9375,212.31,238.78
11,1100023,11007443,3,0.95,218.65,224.46
11,1100023,11007451,3,0.9016393443,196.32,201.92
11,1100023,11007508,3,1.0178571429,208.64,214.16
11,1100023,11007524,2,0,0,0
11,1100023,11007605,3,0.9454545455,204.07,212.88
11,1100023,11007702,3,0.8979591837,187.95,201.5
11,1100023,11007737,3,0.640625,207.25,213.25
11,1100023,11007834,3,0.8205128205,194.37,212.04
11,1100023,11007885,2,0,0,0
11,1100023,11007893,2,0,0,0
11,1100023,11007907,3,0.9923664122,258.53,263.36
11,1100023,11041439,3,0.9217391304,197.66,206.23
11,1100023,11041986,3,0.9230769231,223.35,245.89
11,1100023,11048620,2,1,235.76,240.19
11,1100023,11050233,2,0,0,0
11,1100023,61186439,3,0.7777777778,190.93,188.28
11,1100023,61230837,3,0.7608695652,188.87,204.98
11,1100023,61246509,3,0.7936507937,196.51,203.49
11,1100031,11034041,3,0.9375,198.69,226.03
11,1100031,11034173,3,0.9333333333,216.46,243.38
11,1100031,11034440,2,0,0,0
11,1100031,11039841,3,0.9605263158,218.16,240.81
11,1100049,11025999,3,1,206.24,213.59
11,1100049,11026014,2,0.9473684211,237.8,229
11,1100049,11026073,2,0,0,0
11,1100049,11026197,2,0,0,0
11,1100049,11026235,3,0.8301886792,208.25,221.41
11,1100049,11026278,2,0,0,0
11,1100049,11026294,3,1,210.38,220
11,1100049,11026367,3,1.037037037,200.95,199.07
11,1100049,11026464,2,0.8863636364,239.75,254.97
11,1100049,11026499,2,0.9387755102,210.73,230.68
11,1100049,11026545,2,0.8965517241,207.13,217.66
11,1100049,11026626,2,1.012345679,225.79,236.9
11,1100049,11026685,3,0.8461538462,194.79,218.61
11,1100049,11026758,2,0.8444444444,233.23,242.15
11,1100049,11026766,3,1,189.99,224.03
11,1100049,11026812,3,0.9047619048,187.62,199.18
11,1100049,11026839,3,0.8461538462,205.78,214.2
11,1100049,11026936,3,0.8571428571,197.6,200.85
11,1100049,11026960,3,1.1,225.22,236.72
11,1100049,11027002,3,1.03125,226.92,250.39
11,1100049,11027088,3,0.9545454545,212.71,242.08
11,1100049,11027312,2,0.9896907216,242.44,254.17
11,1100049,11027320,2,0.9438202247,233.69,240.87
11,1100049,11027380,3,0.8596491228,229.61,239.06
11,1100049,11027398,3,0.975,214.29,223.62
11,1100049,11043342,3,0.8636363636,193.83,205.31
11,1100049,11051205,3,0.9473684211,204.88,213.58
11,1100049,11052600,3,0.9523809524,223.23,224.49
11,1100049,61176663,2,0,0,0
11,1100049,61204252,2,0,0,0
11,1100049,61223921,1,0,0,0
11,1100049,61233484,2,0,0,0
11,1100056,11034696,2,0.9705882353,253.09,274.73
11,1100056,11034750,3,1.0384615385,228.48,229.65
11,1100056,11034777,2,0,0,0
11,1100056,11034955,3,0.9534883721,213.03,226.65
11,1100056,11034998,2,0,0,0
11,1100056,11035056,2,0,0,0
11,1100056,11035072,3,0.9885057471,225.1,232.55
11,1100056,11042346,3,0.8965517241,211.12,217.77
